patent_id;inventors_count;images_count;backward_citations_count;foward_citations_count;nuns_count;aplications_count;top_10_words_count;non_patent_citations_count;independent_claims_count;application_date;family_count;ipcs_count;cpcs_count;ipcs_diversity_count;cpcs_diversity_count
BR112013004948;4;0;140;7;6;1;7;0;0;29/08/2011;36;2;5;2;2
BR0010998;2;0;3;16;13;1;3;0;0;24/05/2000;18;10;3;3;2
BR122022015725;5;17;12;5;3;1;0;0;9;23/05/2018;8;2;5;1;3
BR122022004520;5;17;12;5;3;1;0;0;10;23/05/2018;8;2;5;1;3
WO2013050509;2;0;1;3;7;0;5;17;0;05/10/2012;4;3;2;3;2
BR112022014470;7;0;0;0;4;1;6;0;0;30/11/2020;8;2;4;1;2
WO2013131161;1;0;34;15;6;1;5;0;0;08/03/2013;9;3;10;3;8
BR0005520;2;0;41;23;10;1;5;0;0;22/11/2000;33;6;5;3;4
BR112017014961;3;0;10;11;6;2;0;0;0;13/01/2016;11;4;26;2;4
WO2007039415;5;0;5;13;2;0;0;5;0;12/09/2006;14;1;1;1;1
BR0008404;2;0;38;47;10;2;7;0;0;16/02/2000;29;6;10;2;3
BR102017022103;6;0;0;0;1;1;2;0;6;13/10/2017;2;6;13;3;4
BR102021020985;5;7;0;0;5;1;4;0;12;19/10/2021;1;1;0;0;0
BR0004481;3;0;0;0;8;0;11;0;0;27/09/2000;2;3;1;3;1
BR8602228;1;0;0;0;3;1;0;0;0;16/05/1986;1;4;1;3;1
WO2009102256;2;0;8;26;5;1;2;6;0;10/02/2009;25;2;4;1;2
WO2012005246;4;10;65;3;8;1;7;1;16;05/07/2011;8;2;9;2;4
BR0107918;13;0;6;18;4;1;5;0;0;22/01/2001;45;8;3;3;2
BR9800355;3;0;24;22;5;1;2;0;0;19/01/1998;17;10;6;4;4
BR0116920;3;0;6;6;16;1;7;0;0;05/03/2001;14;5;3;2;2
BR102013032585;4;0;0;1;4;1;6;0;33;18/12/2013;2;6;0;0;0
BR0116869;1;0;6;13;4;1;2;0;0;16/01/2001;10;6;4;6;4
BR9805156;1;0;0;1;4;1;4;0;0;27/11/1998;1;1;0;0;0
BR0306525;1;0;0;0;11;1;6;0;0;29/09/2003;2;3;0;0;0
BR0314558;9;0;43;78;3;1;2;0;0;10/10/2003;14;7;13;3;4
WO2010124312;4;0;6;15;4;3;4;5;0;30/04/2010;58;1;5;1;2
BR9704382;1;0;0;0;7;1;0;0;0;18/08/1997;1;3;1;2;1
BR102012020920;1;0;4;19;2;1;1;0;12;17/08/2012;7;3;8;2;3
WO2008112291;7;0;53;130;2;0;2;1;0;13/03/2008;19;2;6;1;2
WO2012175760;4;0;4;7;11;1;3;6;0;27/07/2011;14;5;10;3;5
BR9103116;7;0;0;0;2;1;0;0;0;16/07/1991;1;1;0;0;0
BR0302292;2;0;0;0;5;1;6;0;0;20/06/2003;1;1;0;0;0
WO2015038781;3;0;21;4;4;1;2;0;0;11/09/2014;7;3;7;3;4
BR8007164;4;0;0;0;4;1;0;0;0;04/11/1980;1;1;1;1;1
WO2009035851;1;0;8;31;6;1;2;0;0;27/08/2008;8;2;1;1;1
WO2013046622;5;4;12;14;4;0;2;0;5;24/09/2012;6;1;4;1;2
BR112022011121;4;0;6;0;1;2;5;0;0;11/12/2020;8;4;9;2;4
BR0208110;3;0;7;13;11;2;7;0;0;15/03/2002;25;3;4;3;3
BR8003678;1;0;0;0;4;1;0;0;0;13/06/1980;1;1;1;1;1
BR0312602;6;0;4;31;12;1;6;0;0;11/07/2003;9;1;3;1;2
BR0004706;3;0;0;1;18;1;15;0;0;06/10/2000;3;3;0;0;0
WO2013033369;4;0;7;6;5;0;2;0;0;30/08/2012;9;1;13;1;4
BR8504354;1;0;0;1;2;1;0;0;0;28/08/1985;2;1;1;1;1
BR0011522;2;0;24;41;5;1;2;0;0;12/05/2000;57;24;19;3;4
BR0114322;3;0;4;242;28;4;14;0;0;14/09/2001;18;7;2;3;1
BR102019002908;3;4;0;0;3;1;6;0;9;12/02/2019;2;9;14;4;5
BR9813266;13;0;94;606;4;1;4;0;0;23/10/1998;251;34;18;7;7
BR112022004725;3;0;0;0;1;2;3;0;0;16/10/2020;10;4;14;3;5
BR112019011523;2;0;5;4;2;1;1;0;8;04/12/2017;10;5;14;1;3
BR102021005566;2;3;0;0;8;1;3;0;7;23/03/2021;1;4;0;0;0
WO2015066778;3;0;16;6;3;1;2;12;0;08/11/2013;8;4;21;2;4
WO2015164270;4;0;8;3;3;0;4;1;0;20/04/2015;6;6;5;3;4
BR8103530;1;0;0;0;2;0;0;0;0;04/06/1981;2;2;1;1;1
BR7905440;1;0;0;0;1;1;0;0;0;23/08/1979;1;1;1;1;1
BR7903175;1;0;0;10;5;0;0;0;0;21/05/1979;20;4;5;3;3
WO2015085377;4;0;13;0;9;1;8;2;0;11/12/2013;10;5;6;2;2
BR0006628;1;0;8;1;6;1;7;0;0;07/12/2000;3;3;7;3;6
WO2017142000;4;0;34;4;3;0;1;8;9;16/02/2017;15;7;12;5;7
BR102012023398;3;0;0;0;4;1;7;0;15;17/09/2012;1;3;0;0;0
BR9912407;4;0;1;3;7;1;4;0;0;23/07/1999;10;4;3;1;1
WO2014041030;4;0;2;6;5;0;2;52;0;11/09/2013;10;1;5;1;2
BR112017005071;3;0;9;16;3;1;1;0;0;18/09/2015;16;1;5;1;3
BR112012016320;4;0;26;29;15;2;14;0;0;30/12/2010;20;3;9;2;6
WO2009100179;4;0;25;10;4;0;3;2;0;05/02/2009;8;2;3;1;2
BR9712977;5;0;48;34;5;2;4;0;0;05/09/1997;48;10;144;3;3
BR112022021655;3;0;6;0;2;1;5;0;0;23/04/2021;7;7;14;3;4
WO2019096718;3;0;9;1;2;0;0;20;0;12/11/2018;11;2;6;2;4
WO2010101637;4;0;15;31;8;1;5;3;0;03/03/2010;22;5;18;1;3
WO2012042840;5;4;13;14;4;1;1;1;5;27/09/2011;7;2;4;2;4
BR8302812;4;0;0;0;2;1;0;0;0;27/05/1983;1;1;1;1;1
BR112022004354;5;0;16;0;2;1;5;0;0;09/09/2020;10;5;9;3;6
BR112023000395;5;0;9;1;0;2;4;0;0;08/07/2021;7;4;11;2;4
