patent_id,ipc_class
WO2013142934,C
WO2013142934,C
WO2013142934,C
WO2013142934,C
BR102012032807,B
BR102012032807,B
BR102012032807,C
BR102012032807,C
BR102012007299,C
BR102012007299,C
BR9905240,C
BR9905240,C
BR9905240,C
BR9905240,C
BR9905240,C
BR9905240,C
BR9905239,C
BR9905239,C
BR9905239,C
BR9905239,C
WO2015135046,C
WO2015135046,C
WO2015135046,C
BR0104107,C
BR0104107,C
BR0014789,C
BR0014789,C
BR0014789,C
BR0014789,C
BR0014789,C
BR0014789,C
BR0206132,A
BR0206132,A
BR0206132,C
BR0206132,C
BR0203596,A
BR0203596,A
BR0203596,C
BR0203596,C
BRMU8702351,C
BRMU8702351,C
BRMU8702351,C
BRMU8702351,C
BR132021013813,C
BR132021013813,C
BR132021013813,C
BR0207356,C
BR0207356,C
BR0207356,C
BRPI1107340,A
BRPI1107340,C
BRPI1107340,C
BRPI1107340,C
BR0104400,A
BR0104400,A
BR0104400,C
BR0104400,C
BR102015021056,C
BR9602148,C
BR9602148,C
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,A
BR9602148,C
BR9602148,C
BR9602148,C
BR9602148,C
BR9602148,C
BR9602148,C
BR9602148,C
BR102021013005,C
BR102021013005,C
BR102021013005,C
BR102021013005,C
BR0106355,C
BR0106355,C
BR9800336,C
BR9800336,C
BR9800336,B
BR9800336,B
BR9800336,B
BR9800336,B
BR9800336,C
BR9800336,C
BR9800336,C
BR9800336,C
BR9800336,C
BR9800336,C
BR9800336,C
BR9800336,C
BR9800336,C
BR9800336,C
BR0007342,C
BR0007342,C
BR102021003264,C
BR102021003264,C
BR102021003264,C
BR112022012432,C
BR112022012432,B
BR112022012432,B
BR112022012432,C
BR112022012432,A
BR112022012432,C
BR0113262,C
BR0113262,C
BR0113262,C
BR0113262,C
BR0113262,C
BR102013000525,C
BR112017025511,C
BR112017025511,C
BR102020026212,C
BR102020026212,C
BR0201388,C
BR0201388,C
BR102021005636,C
BR102021005636,C
BR102021005636,C
BRPI0708416,B
BRPI0708416,B
BRPI0708416,B
BRPI0708416,C
BRPI0708416,C
BRPI0708416,C
BRPI0903273,C
BRPI0801567,C
BRPI0801567,C
BRPI0801567,C
BRPI1001144,A
BRPI1001144,A
BRPI1001144,A
BRPI1001144,C
BRPI1001144,C
BRPI1001144,C
BRPI1001144,A
BR102012026872,C
BR102012026872,C
BR102012026872,C
BRPI0622271,C
BRPI0622271,C
BRPI0903040,C
BRPI0903040,C
BRPI0903040,C
BRPI0903040,C
BRPI0903040,C
BRPI0804753,C
BR102021003691,C
BR102021003691,C
BR102021003691,C
BR102021003691,C
BR102021003691,C
WO2011048238,A
WO2011048238,C
WO2011048238,C
WO2011048238,C
BR112018074366,C
BR112018074366,C
BR112018074366,C
BR112018074366,C
BR112018074366,C
BR0301912,A
BR0301912,A
BR0301912,C
BR0301912,C
BR0103326,C
BR0103326,C
BR0103326,C
BR0103326,C
WO2014106220,C
WO2014106220,C
WO2014106220,C
WO2015039065,C
WO2015039065,C
WO2015039065,C
WO2015019362,C
WO2015019362,C
WO2015019362,C
BR102012023582,C
BR102012023582,C
BR102014031211,C
BR102014031211,C
BR102014031211,C
BR102014031211,C
BR102014031211,C
WO2019124143,C
WO2019124143,C
WO2019124143,C
BR112016021699,C
BR112016021699,C
BR112016021699,C
BR112016021699,C
BR112016021699,C
BR112016021699,D
WO2015138260,C
WO2015138260,C
WO2015138260,C
WO2011070445,C
WO2011070445,C
WO2011070445,B
BRPI0800147,C
BR0212170,A
BR0212170,A
BR0212170,A
BR0212170,A
BR0212170,A
BR0212170,A
BR0212170,A
BR0212170,A
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BR0212170,C
BRPI0802522,C
WO2016070258,C
WO2016070258,C
WO2016070258,C
WO2016070258,C
WO2016070258,C
WO2016070258,C
WO2016070258,C
WO2008095033,C
WO2008095033,C
WO2008095033,A
BR0113263,C
BR0113263,C
BR0113263,C
BR0113263,C
BR0113263,C
BR112014032455,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
BRPI0706170,C
WO2009116070,C
BRC10705520,C
BRC10705520,C
BRC10705520,C
BRC10705520,C
BRC10705520,C
BRC10705520,C
WO2016065453,C
WO2016065453,C
WO2016065453,C
WO2016065453,C
WO2016065453,C
WO2016065453,C
WO2016065453,C
BR102021010467,C
BR102021010467,C
BR102021010467,C
BR102021010467,B
BR0313272,C
BR0313272,C
BR0313272,C
BR0313272,C
BR0215051,C
BR0215051,C
BR0215051,C
BR0215051,C
WO2011153516,C
WO2011153516,C
BR102022003667,C
BR102022003667,C
BR102022003667,C
BR102022003667,C
BR102022003667,C
BRPI0615697,C
BRPI0615697,C
BRPI0615697,C
BR102021004001,C
BR102021004001,C
BR102021004001,C
WO2010039971,C
WO2010039971,C
BR102021024740,C
BR102021024740,C
BR8007603,C
BR8007603,C
BR102020025293,G
BR102020025293,C
BR102020025293,C
BR0303645,C
BR0303645,C
BRPI0705073,C
BRPI0705073,C
BRPI0705073,C
WO2016140742,A
WO2016140742,C
WO2016140742,C
BR102013022434,C
BR102013022434,C
BR102013022434,C
WO2015188244,C
WO2015188244,C
WO2015188244,C
BRPI1002583,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0306946,C
BR0009293,C
BR0009293,C
BR0009293,A
BR0009293,A
BR0009293,C
BR0009293,C
BR0009293,C
BR0009293,C
BR0009293,C
BR0009293,C
BR112022005525,C
BR112022005525,C
BR112022005525,C
BR112022005525,C
BR112022005520,C
BR112022005520,C
BR112022005520,C
BR112022005520,C
WO2009044868,C
WO2009044868,C
WO2009044868,C
WO2009044868,C
WO2009044868,C
BR9706137,C
BR9706137,C
BR9706137,C
BR9706137,C
BR9706137,C
BR9706137,C
BR9706137,C
BR9706137,C
BR9706137,C
BR9706137,C
WO2015155788,C
BR0103200,C
BR0103200,C
BR1100711,B
BR1100711,C
BR1100711,C
BR1100711,C
BR102021008718,C
BR0100470,C
BR0100470,C
BR0100470,C
BR0100470,C
BR0100470,C
BR0100470,C
BR8000652,C
BR8000652,C
BRPI0705512,C
BRPI0705512,C
BRPI0705512,C
BRPI0705512,C
BRPI0705512,C
BRPI0705512,C
BR112013004948,C
BR112013004948,A
BRPI0505299,C
BRPI0505299,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR0010998,C
BR122022015725,C
BR122022015725,C
BR122022004520,C
BR122022004520,C
WO2013050509,C
WO2013050509,C
WO2013050509,C
BR112022014470,C
BR112022014470,C
WO2013131161,C
WO2013131161,B
WO2013131161,C
BR0005520,B
BR0005520,B
BR0005520,B
BR0005520,C
BR0005520,C
BR0005520,C
BR0005520,C
BR0005520,C
BR0005520,C
