patent_id,ipc_class
WO2013142934,C12P
WO2013142934,C12P
WO2013142934,C08B
WO2013142934,C12M
BR102012032807,B01D
BR102012032807,B01D
BR102012032807,C12F
BR102012032807,C12P
BR102012007299,C12P
BR102012007299,C12P
BR9905240,C12F
BR9905240,C12F
BR9905240,C12P
BR9905240,C12P
BR9905240,C12P
BR9905240,C12P
BR9905239,C12F
BR9905239,C12F
BR9905239,C12P
BR9905239,C12P
WO2015135046,C10L
WO2015135046,C10L
WO2015135046,C10G
BR0104107,C07C
BR0104107,C07C
BR0014789,C12G
BR0014789,C12G
BR0014789,C12M
BR0014789,C12M
BR0014789,C12P
BR0014789,C12P
BR0206132,A61F
BR0206132,A61F
BR0206132,C12P
BR0206132,C12P
BR0203596,A23K
BR0203596,A23K
BR0203596,C12N
BR0203596,C12N
BRMU8702351,C07C
BRMU8702351,C07C
BRMU8702351,C07C
BRMU8702351,C10L
BR132021013813,C12N
BR132021013813,C12N
BR132021013813,C12N
BR0207356,C12P
BR0207356,C12P
BR0207356,C12R
BRPI1107340,A23K
BRPI1107340,C12F
BRPI1107340,C12F
BRPI1107340,C12P
BR0104400,A01H
BR0104400,A01H
BR0104400,C12N
BR0104400,C12N
BR102015021056,C12P
BR9602148,C07D
BR9602148,C07D
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61K
BR9602148,A61P
BR9602148,A61P
BR9602148,A61P
BR9602148,A61P
BR9602148,A61P
BR9602148,A61P
BR9602148,A61P
BR9602148,A61P
BR9602148,C07C
BR9602148,C07C
BR9602148,C07C
BR9602148,C07D
BR9602148,C07D
BR9602148,C07H
BR9602148,C07H
BR102021013005,C12P
BR102021013005,C12N
BR102021013005,C12R
BR102021013005,C12R
BR0106355,C07C
BR0106355,C07C
BR9800336,C07H
BR9800336,C07H
BR9800336,B01J
BR9800336,B01J
BR9800336,B01J
BR9800336,B01J
BR9800336,C07B
BR9800336,C07B
BR9800336,C07B
BR9800336,C07B
BR9800336,C07C
BR9800336,C07C
BR9800336,C07H
BR9800336,C07H
BR9800336,C07H
BR9800336,C07H
BR0007342,C12P
BR0007342,C12P
BR102021003264,C10L
BR102021003264,C10L
BR102021003264,C10L
BR112022012432,C12F
BR112022012432,B01D
BR112022012432,B01J
BR112022012432,C13B
BR112022012432,A23L
BR112022012432,C12P
BR0113262,C12P
BR0113262,C12P
BR0113262,C12P
BR0113262,C13K
BR0113262,C13K
BR102013000525,C10L
BR112017025511,C12P
BR112017025511,C12P
BR102020026212,C12N
BR102020026212,C12P
BR0201388,C12P
BR0201388,C12P
BR102021005636,C10L
BR102021005636,C10L
BR102021005636,C10L
BRPI0708416,B01J
BRPI0708416,B01J
BRPI0708416,B01J
BRPI0708416,C07B
BRPI0708416,C07C
BRPI0708416,C07C
BRPI0903273,C12P
BRPI0801567,C12N
BRPI0801567,C12R
BRPI0801567,C12N
BRPI1001144,A23K
BRPI1001144,A23K
