patent_id,ipc_class
BRPI0615697,C12
BR102021004001,C10
BR102021004001,C10
BR102021004001,C10
WO2010039971,C07
WO2010039971,C12
BR102021024740,C12
BR102021024740,C12
BR8007603,C12
BR8007603,C12
BR102020025293,G16
BR102020025293,C12
BR102020025293,C12
BR0303645,C12
BR0303645,C12
BRPI0705073,C01
BRPI0705073,C10
BRPI0705073,C09
WO2016140742,A01
WO2016140742,C12
WO2016140742,C07
BR102013022434,C12
BR102013022434,C12
BR102013022434,C12
WO2015188244,C12
WO2015188244,C12
WO2015188244,C12
BRPI1002583,C07
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0306946,C12
BR0009293,C12
BR0009293,C12
BR0009293,A01
BR0009293,A01
BR0009293,C12
BR0009293,C12
BR0009293,C12
BR0009293,C12
BR0009293,C12
BR0009293,C12
BR112022005525,C07
BR112022005525,C07
BR112022005525,C07
BR112022005525,C08
BR112022005520,C07
BR112022005520,C07
BR112022005520,C07
BR112022005520,C08
WO2009044868,C12
WO2009044868,C12
WO2009044868,C12
WO2009044868,C12
WO2009044868,C12
BR9706137,C07
BR9706137,C07
BR9706137,C10
BR9706137,C10
BR9706137,C12
BR9706137,C12
BR9706137,C12
BR9706137,C12
BR9706137,C12
BR9706137,C12
WO2015155788,C12
BR0103200,C10
BR0103200,C10
BR1100711,B01
BR1100711,C07
BR1100711,C07
BR1100711,C10
BR102021008718,C12
BR0100470,C12
BR0100470,C12
BR0100470,C12
BR0100470,C12
BR0100470,C12
BR0100470,C12
BR8000652,C12
BR8000652,C12
BRPI0705512,C07
BRPI0705512,C07
BRPI0705512,C07
BRPI0705512,C12
BRPI0705512,C12
BRPI0705512,C12
BR112013004948,C12
BR112013004948,A01
BRPI0505299,C12
BRPI0505299,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR0010998,C12
BR122022015725,C12
BR122022015725,C12
BR122022004520,C12
BR122022004520,C12
WO2013050509,C12
WO2013050509,C12
WO2013050509,C12
BR112022014470,C07
BR112022014470,C07
WO2013131161,C10
WO2013131161,B01
WO2013131161,C05
BR0005520,B01
BR0005520,B01
BR0005520,B01
BR0005520,C10
BR0005520,C10
BR0005520,C10
BR0005520,C10
BR0005520,C10
BR0005520,C10
BR112017014961,C10
BR112017014961,C10
BR112017014961,C10
BR112017014961,C10
WO2007039415,C12
BRPI0910297,C07
BRPI0910297,C07
BRPI0910297,C07
BRPI0910297,C07
BRPI0910297,C10
BR0008404,B01
BR0008404,B01
BR0008404,B01
BR0008404,B01
BR0008404,C07
BR0008404,C07
BR0008404,C07
BR0008404,C07
BR0008404,C07
BR0008404,C07
BR0008404,C07
BR0008404,C07
BRPI0703462,C10
BRPI0703462,C10
BRPI0703462,A01
BRPI0805972,C07
BRPI0805972,C12
BRPI0805972,C12
BRPI0609602,A01
BRPI0609602,C12
BRPI0609602,C07
BRPI0609602,C12
BRPI0609602,C12
BRPI0609602,C12
BR102017022103,C07
BR102017022103,C10
BR102017022103,B01
BR102017022103,B01
BR102021020985,C12
BRPI0615429,A01
BRPI0615429,C07
BRPI0615429,C12
BRPI0615429,C12
BRPI0615429,C12
BRPI0615429,C12
BR0004481,C12
BR0004481,C12
BR0004481,C12
BR0004481,C12
BR0004481,C12
BR8602228,C12
BR8602228,C12
BR8602228,C12
BR8602228,C12
BR8602228,C13
BR8602228,C13
BR8602228,C21
BR8602228,C21
WO2009102256,C12
WO2009102256,C12
WO2012005246,C12
WO2012005246,C12
BRPI0800522,C10
BR0107918,C12
BR0107918,C12
BR0107918,C07
BR0107918,C07
BR0107918,C07
BR0107918,C07
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR0107918,C12
BR9800355,C07
BR9800355,C07
BR9800355,B01
BR9800355,B01
BR9800355,B01
BR9800355,B01
BR9800355,B01
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR9800355,C07
BR0116920,C07
BR0116920,C07
BR0116920,C07
BR0116920,C07
BR0116920,C07
BR0116920,C07
BR0116920,C07
BR0116920,C07
BR102013032585,C12
BR102013032585,C12
BR102013032585,C12
BR102013032585,C12
BR102013032585,C12
BR102013032585,C12
BR0116869,C12
BR0116869,C12
BR0116869,B09
BR0116869,B09
BR0116869,C08
BR0116869,C08
BR0116869,C08
BR0116869,C08
BR0116869,C08
BR0116869,C08
BR0116869,C13
BR0116869,C13
BR9805156,C10
BR9805156,C10
BR0306525,C12
BR0306525,C12
BR0306525,C12
BR0306525,C12
BR0306525,C12
BR0314558,C12
BR0314558,C12
WO2010124312,C12
WO2010124312,C12
WO2010124312,C12
BR9704382,C07
BR9704382,C07
BR9704382,C07
BR9704382,C07
BR9704382,C12
BR9704382,C12
BR102012020920,C12
BR102012020920,C12
BR102012020920,C12
WO2008112291,C12
WO2012175760,C12
WO2012175760,C07
WO2012175760,C12
WO2012175760,C12
WO2012175760,C12
BR9103116,C12
BR9103116,C12
BR0302292,C10
BR0302292,C10
WO2015038781,C10
WO2015038781,C12
WO2015038781,C12
BR8007164,C12
BR8007164,C12
WO2009035851,C07
WO2009035851,C07
WO2013046622,C12
BR112022011121,C12
BR112022011121,C12
BR112022011121,C12
BR112022011121,C12
BR0208110,C12
BR0208110,C12
BR0208110,C12
BR0208110,C12
BR0208110,C12
BR8003678,C12
BR8003678,C12
BR0312602,C12
BR0312602,C12
BR0004706,A01
BR0004706,A01
BR0004706,A01
BR0004706,A01
BR0004706,C12
BR0004706,C12
WO2013033369,C07
WO2013033369,C12
BR8504354,C12
BR8504354,C12
BRPI1101721,C12
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,A61
