patent_id,ipc_class
WO2013142934,C1
WO2013142934,C1
WO2013142934,C0
WO2013142934,C1
BR102012032807,B0
BR102012032807,B0
BR102012032807,C1
BR102012032807,C1
BR102012007299,C1
BR102012007299,C1
BR9905240,C1
BR9905240,C1
BR9905240,C1
BR9905240,C1
BR9905240,C1
BR9905240,C1
BR9905239,C1
BR9905239,C1
BR9905239,C1
BR9905239,C1
WO2015135046,C1
WO2015135046,C1
WO2015135046,C1
BR0104107,C0
BR0104107,C0
BR0014789,C1
BR0014789,C1
BR0014789,C1
BR0014789,C1
BR0014789,C1
BR0014789,C1
BR0206132,A6
BR0206132,A6
BR0206132,C1
BR0206132,C1
BR0203596,A2
BR0203596,A2
BR0203596,C1
BR0203596,C1
BRMU8702351,C0
BRMU8702351,C0
BRMU8702351,C0
BRMU8702351,C1
BR132021013813,C1
BR132021013813,C1
BR132021013813,C1
BR0207356,C1
BR0207356,C1
BR0207356,C1
BRPI1107340,A2
BRPI1107340,C1
BRPI1107340,C1
BRPI1107340,C1
BR0104400,A0
BR0104400,A0
BR0104400,C1
BR0104400,C1
BR102015021056,C1
BR9602148,C0
BR9602148,C0
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,A6
BR9602148,C0
BR9602148,C0
BR9602148,C0
BR9602148,C0
BR9602148,C0
BR9602148,C0
BR9602148,C0
BR102021013005,C1
BR102021013005,C1
BR102021013005,C1
BR102021013005,C1
BR0106355,C0
BR0106355,C0
BR9800336,C0
BR9800336,C0
BR9800336,B0
BR9800336,B0
BR9800336,B0
BR9800336,B0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR9800336,C0
BR0007342,C1
BR0007342,C1
BR102021003264,C1
BR102021003264,C1
BR102021003264,C1
BR112022012432,C1
BR112022012432,B0
BR112022012432,B0
BR112022012432,C1
BR112022012432,A2
BR112022012432,C1
BR0113262,C1
BR0113262,C1
BR0113262,C1
BR0113262,C1
BR0113262,C1
BR102013000525,C1
BR112017025511,C1
BR112017025511,C1
BR102020026212,C1
BR102020026212,C1
BR0201388,C1
BR0201388,C1
BR102021005636,C1
BR102021005636,C1
BR102021005636,C1
BRPI0708416,B0
BRPI0708416,B0
BRPI0708416,B0
BRPI0708416,C0
BRPI0708416,C0
BRPI0708416,C0
BRPI0903273,C1
BRPI0801567,C1
BRPI0801567,C1
BRPI0801567,C1
BRPI1001144,A2
BRPI1001144,A2
BRPI1001144,A2
BRPI1001144,C1
BRPI1001144,C1
BRPI1001144,C1
BRPI1001144,A2
BR102012026872,C1
BR102012026872,C1
BR102012026872,C1
BRPI0622271,C1
BRPI0622271,C1
BRPI0903040,C1
BRPI0903040,C1
BRPI0903040,C1
BRPI0903040,C1
BRPI0903040,C1
BRPI0804753,C1
BR102021003691,C1
BR102021003691,C1
BR102021003691,C1
BR102021003691,C1
BR102021003691,C1
WO2011048238,A0
WO2011048238,C1
WO2011048238,C1
WO2011048238,C1
BR112018074366,C1
BR112018074366,C1
BR112018074366,C1
BR112018074366,C1
BR112018074366,C1
BR0301912,A6
BR0301912,A6
BR0301912,C1
BR0301912,C1
BR0103326,C1
BR0103326,C1
BR0103326,C1
BR0103326,C1
WO2014106220,C1
WO2014106220,C1
WO2014106220,C1
WO2015039065,C1
WO2015039065,C1
WO2015039065,C1
WO2015019362,C1
WO2015019362,C1
WO2015019362,C1
BR102012023582,C1
BR102012023582,C1
BR102014031211,C1
BR102014031211,C1
BR102014031211,C1
BR102014031211,C1
BR102014031211,C1
WO2019124143,C1
WO2019124143,C1
WO2019124143,C1
BR112016021699,C1
BR112016021699,C1
BR112016021699,C1
BR112016021699,C1
BR112016021699,C1
BR112016021699,D2
WO2015138260,C0
WO2015138260,C0
WO2015138260,C1
WO2011070445,C1
WO2011070445,C0
WO2011070445,B0
BRPI0800147,C1
BR0212170,A0
BR0212170,A0
BR0212170,A0
BR0212170,A0
BR0212170,A0
BR0212170,A0
BR0212170,A2
BR0212170,A2
BR0212170,C0
BR0212170,C0
BR0212170,C0
BR0212170,C0
BR0212170,C0
BR0212170,C0
BR0212170,C0
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BR0212170,C1
BRPI0802522,C1
WO2016070258,C1
WO2016070258,C1
WO2016070258,C1
WO2016070258,C1
WO2016070258,C1
WO2016070258,C1
WO2016070258,C1
WO2008095033,C0
WO2008095033,C1
WO2008095033,A6
BR0113263,C1
BR0113263,C1
BR0113263,C1
BR0113263,C1
BR0113263,C1
BR112014032455,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
BRPI0706170,C1
WO2009116070,C1
BRC10705520,C1
BRC10705520,C1
BRC10705520,C1
BRC10705520,C1
BRC10705520,C1
BRC10705520,C1
WO2016065453,C1
WO2016065453,C1
WO2016065453,C1
WO2016065453,C1
WO2016065453,C1
WO2016065453,C1
WO2016065453,C1
BR102021010467,C1
BR102021010467,C1
BR102021010467,C1
BR102021010467,B2
BR0313272,C1
BR0313272,C1
BR0313272,C1
BR0313272,C1
BR0215051,C0
BR0215051,C0
BR0215051,C1
BR0215051,C1
WO2011153516,C1
WO2011153516,C1
BR102022003667,C1
BR102022003667,C1
BR102022003667,C1
BR102022003667,C1
BR102022003667,C1
BRPI0615697,C1
BRPI0615697,C1
BRPI0615697,C1
BR102021004001,C1
BR102021004001,C1
BR102021004001,C1
WO2010039971,C0
WO2010039971,C1
BR102021024740,C1
BR102021024740,C1
BR8007603,C1
BR8007603,C1
BR102020025293,G1
BR102020025293,C1
BR102020025293,C1
BR0303645,C1
BR0303645,C1
BRPI0705073,C0
BRPI0705073,C1
BRPI0705073,C0
WO2016140742,A0
WO2016140742,C1
WO2016140742,C0
BR102013022434,C1
BR102013022434,C1
BR102013022434,C1
WO2015188244,C1
WO2015188244,C1
WO2015188244,C1
BRPI1002583,C0
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0306946,C1
BR0009293,C1
BR0009293,C1
BR0009293,A0
BR0009293,A0
BR0009293,C1
BR0009293,C1
BR0009293,C1
BR0009293,C1
BR0009293,C1
BR0009293,C1
BR112022005525,C0
BR112022005525,C0
BR112022005525,C0
BR112022005525,C0
BR112022005520,C0
BR112022005520,C0
BR112022005520,C0
BR112022005520,C0
WO2009044868,C1
WO2009044868,C1
WO2009044868,C1
WO2009044868,C1
WO2009044868,C1
BR9706137,C0
BR9706137,C0
BR9706137,C1
BR9706137,C1
BR9706137,C1
BR9706137,C1
BR9706137,C1
BR9706137,C1
BR9706137,C1
BR9706137,C1
WO2015155788,C1
BR0103200,C1
BR0103200,C1
BR1100711,B0
BR1100711,C0
BR1100711,C0
BR1100711,C1
BR102021008718,C1
BR0100470,C1
BR0100470,C1
BR0100470,C1
BR0100470,C1
BR0100470,C1
BR0100470,C1
BR8000652,C1
BR8000652,C1
BRPI0705512,C0
BRPI0705512,C0
BRPI0705512,C0
BRPI0705512,C1
BRPI0705512,C1
BRPI0705512,C1
BR112013004948,C1
BR112013004948,A0
BRPI0505299,C1
BRPI0505299,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR0010998,C1
BR122022015725,C1
BR122022015725,C1
BR122022004520,C1
BR122022004520,C1
WO2013050509,C1
WO2013050509,C1
WO2013050509,C1
BR112022014470,C0
BR112022014470,C0
WO2013131161,C1
WO2013131161,B0
WO2013131161,C0
BR0005520,B0
BR0005520,B0
BR0005520,B0
BR0005520,C1
BR0005520,C1
BR0005520,C1
BR0005520,C1
BR0005520,C1
BR0005520,C1
BR112017014961,C1
BR112017014961,C1
BR112017014961,C1
BR112017014961,C1
WO2007039415,C1
BRPI0910297,C0
BRPI0910297,C0
BRPI0910297,C0
BRPI0910297,C0
BRPI0910297,C1
BR0008404,B0
BR0008404,B0
BR0008404,B0
BR0008404,B0
BR0008404,C0
BR0008404,C0
BR0008404,C0
BR0008404,C0
BR0008404,C0
BR0008404,C0
BR0008404,C0
BR0008404,C0
BRPI0703462,C1
BRPI0703462,C1
BRPI0703462,A0
BRPI0805972,C0
BRPI0805972,C1
BRPI0805972,C1
BRPI0609602,A0
BRPI0609602,C1
